순위,최종점수,번호,제품명,분류,밀도_EPADHA_mg,순도_pct,비율표기,형태,어종,항산화제,포장,제형,인증,COA,원료사,성분35,산패30,원료형태20,투명성15,합계,안전상한,정보검증,적합성,출처비고
11,78,31,캘리포니아골드 뉴트리션 오메가3,사람용,300,60,명시,TG,소형어,있음,취약,소프트젤,미상,일부,미상,35,20,20,3,78,,공개·검증,미정,1캡슐 EPA180+DHA120=300mg(총500mg·순도60%)·멸치/고등어/정어리/참치·농축TG·비타민E·중금속/PCB시험 (iHerb)
12,75,23,뉴트리코어 하이퍼셀 식물성 알티지 오메가3(사람용),사람용·식물성,900,67,일부,rTG,조류,미상,우수,캡슐,있음,미상,미상,32,20,18,5,75,,라벨만,DHA중심(조류),사람용 건기식(1일1캡슐·펫전용 SKU 없음)·1캡슐 1340mg 중 EPA+DHA 900mg(완제품 순도 67%=900/1340·'80%'는 원료 미세조류 기준)·미세조류 rTG(DHA 편중·EPA 적음)·SEDS 하이퍼셀 인지질코팅(흡수↑)·50℃ 저온초임계(헥산 NO)·GOED 인증원료·식물성캡슐(홍조류)·개별 PTP 포장·900mg은 사람 1일량이라 4kg 고양이엔 분할급여 어려움(NCS 구버전=1126mg/순도80%) (공식 상세이미지 비전 20260620)
13,74,10,페스룸 타이니 오메가-3,펫·캡슐,40,80,명시,rTG,소형어,있음,보통,캡슐,있음,미상,명시,20,25,20,9,74,,라벨만,일반유지,페스룸 TINY 오메가3 50mg(소형견·고양이 추천 SKU)·1캡슐 50mg 중 EPA+DHA 40mg·순도80%·3세대 rTG·멸치/청어 소형어·비타민E 0.13mg·통포장·KD Pharma(독일) 원료·IFOS5★+GOED 인증원료·150캡슐(0.5cm)·100mg형은 EPA48+DHA32=80mg/블리스터개별 (pethroom product_no=702 자동수집+비전 20260620)
14,61,13,이퀄 스틱 오메가3,펫·스틱,560,,일부,rTG,미상,있음,우수,스틱,미상,미상,미상,22,26,13,0,61,,라벨만,미정,EPA+DHA 560mg/스틱(라벨 명시·고함량)·rTG·정제어유(어종 미표기)·천연토코페롤(항산화)·멸균 레토르트 개별스틱 공기차단포장·원료 정제수/타피오카전분/치커리/정제어유/가쓰오엑기스 (equalpet.store/product/50 자동수집+비전확인 20260620)
15,59,16,아이슬란딕 헤링 오메가3,펫·액상,147,15,명시,TG,소형어,미상,보통,펌프액상,미상,공개,명시,18,11,20,10,59,,공개·검증,일반유지,카이쿠라 청어100% 아이슬란드산 자연어유(TG)·성분표 per1g Total오메가3 199mg·DHA79+EPA70=147mg·DPA10mg·VitA/D ND·순도≈15%(147/1000)·사료검정 산가0.01(COA공개)·MSC인증·1펌프≈1ml·250ml (kaikoora.com/product/13 자동수집+비전확인 20260620)
16,56,18,브릴리언트 연어오일 1000ml,펫·액상,50,5,명시,TG,일반어,있음,보통,대용량액상,미상,공개,명시,13,17,16,10,56,,공개·검증,일반유지,브릴리언트 연어오일 CoA(페오펫 300ml 동일오일)·EPA≥20+DHA≥30=≥50mg/g·DPA≥10·Total오메가3≥140mg/g·Fat≥99%(순도≈5%)·노르웨이 연어 자연유(TG)·Astaxanthin>6µg/g(천연항산화)·Peroxide≤12/Anisidine≤8/중금속<0.1/PCB·다이옥신 분기검사(COA공개)·차단펌프(공기차단)·Friend of the Sea (shop.peopet.co.kr/goods/36686 비전확인 20260620)
17,55,30,위타민 알티지,사람용,980,,미상,rTG,미상,미상,미상,캡슐,있음,일부,명시,20,10,13,12,55,,공개·검증,미정,완제품 IFOS·EPA+DHA 980mg·rTG·KD파마 원료(원료+완제품IFOS5★)·별도SKU 1280mg 존재 (weetamin.co.kr)
18,46,17,바이오펫츠 펫메가3,펫·액상,84,,일부,TG,일반어,미상,우수,펌프액상,미상,일부,명시,7,16,16,7,46,,라벨만,일반유지,바이오펫츠 펫메가3 150ml·1ml당 EPA+DHA 64~103mg(중간값 84)·연어오일99%(원육 노르웨이)·자연 비농축(TG)·공기차단 특허용기(특허 20-0470695)·비타민 1% 첨가·산가 2.5 공개(COA 일부)·per회분 mg 미상 (fitpetmall goods/1000037912 자동수집+OCR 20260620)
19,42,33,고려은단 식물성 퓨어 알티지,사람용·식물성,,75,미상,rTG,조류,미상,미상,캡슐,미상,미상,명시,10,10,18,4,42,,라벨만,DHA중심(조류),무균배양 미세조류(DSM 원료·순도75%)·rTG·EPA/DHA 균형·상한 부적용·per캡슐mg SKU별 상이(기억력+ 900mg) (고려은단/메디파나/소셜타임스)
20,40,7,88오메가가드,펫·츄,,,미상,미상,소형어,있음,보통,츄,미상,미상,명시,0,21,15,4,40,,라벨만,미정,88PET 88OMEGAGUARD 씹어먹는 정제타입(츄) 60정 강아지·고양이 공용·노르웨이 Epax 정제어유(먹이사슬 최하단 청어=소형어)·DHA+EPA+토코페롤(항산화 있음)·흰 불투명병(포장 보통)·ELT사이언스 국내제조(원료사 명시)·VGMP/수의사추천/휴먼그레이드(IFOS·GOED 아님→인증 미상)·per정 EPA+DHA mg·순도·형태(rTG/TG) 미표기 (88PET 상세이미지 비전확인 20260620)
20,40,27,종근당 프로메가 알티지 듀얼,사람용,300,,명시,rTG,일반어,있음,우수,캡슐,미상,미상,명시,25,30,16,4,75,40,라벨만,미정,1캡슐 EPA+DHA 300mg(2캡슐 600mg)·rTG·AlaskaOmega(알래스카 명태유=일반어)·비타민E 11mg α-TE(항산화)·PTP 개별포장·비타민A 첨가(눈건강 기능성→상한40)·식약처 이중기능성·HACCP(IFOS 아님) (ckdhcmall/필라이즈/다나와)
20,40,29,닥터닥터스 알티지 rTG 1200,사람용,1200,,명시,rTG,소형어,미상,미상,캡슐,있음,미상,미상,25,10,20,5,60,40,라벨만,미정,1캡슐 EPA800+DHA400=1200mg·100%멸치어유(소형어)·rTG·IFOS5STAR·비타민D 1000IU·90캡슐(3개월) (drdoctors.co.kr/11번가/필라이즈)
20,40,32,담백하루 초임계 알티지 1000,사람용,1000,79.7,미상,rTG,미상,미상,미상,캡슐,있음,일부,명시,30,10,13,12,65,40,공개·검증,미정,EPA+DHA 1000mg/1255mg캡슐(순도79.7%)·KD파마 원료·초임계rTG·완제품IFOS·비타민D 15μg·AlpiBio제조 (dambaekharu/danawa/필라이즈)
24,36,28,트루엔 알티지 오메가3,사람용,,,미상,rTG,일반어,미상,우수,캡슐,미상,미상,미상,0,20,16,0,36,40,라벨만,미정,rTG·Pollack(명태/대구속 어체유=간유아님→대구상한X·일반어)·PVDC개별포장(우수)·비타민D3·per캡슐 EPA+DHA mg 미상 (dawnfactory 블로그·라벨확인필요)
25,29,9,아베텍 오메가3벳,펫·액상,,,미상,미상,일반어,있음,미상,펌프액상,미상,미상,일부,0,16,11,2,29,,라벨만,미정,아베텍 오메가3벳 125ml 액상·남태평양/남극해 청정해역 바다생선(고함량 DHA·EPA·동물성)·고순도 정제(수직계열화)·천연항산화제·원산지 region만 명시(원료사 일부)·EPA+DHA mg·순도·형태(rTG/TG) 공식사이트도 미공개 (공식 a-vetech.com/94?idx=165·easypet 확인 20260620)
26,26,19,살모펫 노르웨이 연어오일,펫·액상,,,미상,TG,일반어,미상,미상,펌프액상,미상,미상,명시,0,6,16,4,26,,라벨만,미정,Salmo Pet 노르웨이산 연어오일(NORGE 원산지 명시)·자연어유(TG)·연어 단일·5kg미만 1펌프~·DHA·EPA 함유 표기만·per펌프 EPA+DHA mg 미공개 (fitpetmall goods/1000024792 자동수집+비전 20260620)
26,26,21,오메가3 플러스펫 프리미엄,펫·액상,,,미상,TG,해양포유류,미상,취약,펌프액상,미상,미상,명시,0,6,16,4,26,50,라벨만,미정,오메가3 플러스펫 캐나다 물개오일 140ml+루테인·해양 포유류 오일(해양성·EPA/DHA/DPA 공급·어종=해양포유류)·자연유 TG·투명용기(포장 취약)·캐나다산(원료사 명시)·실온보관·EPA+DHA mg/순도 미공개(SSG·펫프렌즈 확인) (ssg itemId 1000534830783 20260620)
26,26,24,klnix 클리닉스 MEGA-3A,병원·클리닉,,,미상,미상,미상,있음,취약,파우더,미상,미상,명시,0,14,8,4,26,,라벨만,미정,클리닉스 MEGA-3A 미세파우더(가루) 80g·제형 파우더(4점)·큰 뚜껑 통이라 밀폐·보관 취약·생선오일분말(어종 미표기)·EPA/DHA/ALA 함유하나 per회분 mg·순도 미공개(한 스푼≈제품 700mg)·항산화 비타민E+천연알파토코페롤+로즈마리추출물·제조원 대성물산(원료사 명시)·24개월 산패안정성 표방(실측 미공개)·성분등록 제55VVW0022 (petemart 2124 자동수집+비전 20260620)
29,23,22,닥터뮨 식물성 오메가3,펫·식물성,,64.5,미상,미상,조류,미상,미상,미상,미상,미상,미상,10,0,13,0,23,,라벨만,DHA중심(조류),미세조류 추출 식물성→조류(정상·상한해제 확정)·1g당 EPA+DHA 645mg→순도64.5%·per캡슐mg 미상(이미지잠금) (drmune.com/etnews 20260210)
30,18,8,듀오메가 500mg,펫·캡슐,,,미상,미상,미상,미상,미상,캡슐,미상,미상,미상,0,10,8,0,18,,미상,미정,표시 500mg(오일 추정)·EPA+DHA 미상·국내 판매처 없음(2026-06 확인)·단종 추정으로 추가 수집 불가
31,17,20,뉴트리벳 오메가3,펫·액상,,,미상,미상,일반어,미상,미상,펌프액상,미상,미상,미상,0,6,11,0,17,,라벨만,미정,"연어+폴락(대구과 어체유, 간유 아님)→비타민A/D 상한 부적용·국내 판매처 없음(2026-06 확인)·단종 추정으로 추가 수집 불가 (구 핏펫)"
32,8,14,펫생각 오메가3플러스,펫·병원채널,,,미상,미상,미상,미상,미상,미상,미상,미상,미상,0,0,8,0,8,,라벨만,미정,동물병원협회 추천 (비타트라)
32,8,2,조공 rTG 퓨어 오메가3(=#4 동일·개명 중복),펫·캡슐,,,미상,미상,미상,미상,미상,미상,미상,미상,미상,0,0,8,0,8,,중복,=#4,사용자 확인: '조공 rTG 퓨어'는 '퓨어 오메가-3 미니'로 개명되어 #4(조공 데일리 퓨어 오메가-3 미니)와 동일 제품·중복 항목·채점 제외(점수데이터 비움)·실제 스펙은 #4 참조(EPA73.33+DHA36.67=110·순도75·Solutex rTG·IFOS) (choandkang 629)
